amplitude,phase,timestamp,validflag,ttlin,mark,ttlout
-0.0369514237936541,0.0,185666,0,1,,0
-0.035028099406424866,0.08055365778435367,185698,0,1,,0
-0.03303958783819179,0.16110731556870733,185738,0,1,,0
-0.030927570356259752,0.241660973353061,185778,0,1,,0
-0.028643418888256094,0.32221463113741466,185818,0,1,,0
-0.026152380945522788,0.4027682889217683,185858,0,1,,0
-0.02343696167171679,0.48332194670612194,185898,0,1,,0
-0.02049930603823056,0.5638756044904756,185938,0,1,,0
-0.017362441581576002,0.6444292622748292,185978,0,1,,0
-0.014070307455360486,0.7249829200591829,186018,0,1,,0
-0.010686565175376691,0.8055365778435365,186058,0,1,,0
-0.007292256252141426,0.8860902356278901,186098,0,1,,0
-0.003982437902955325,0.9666438934122438,186138,0,1,,0
-0.0008619864115686302,1.0471975511965974,186178,0,1,,0
0.0019591949008028846,1.1277512089809512,186218,0,1,,0
0.004371292433104589,1.208304866765305,186258,0,1,,0
0.006269735056077011,1.2888585245496587,186298,0,1,,0
0.007560092685131888,1.3694121823340124,186338,0,1,,0
0.00816244574984747,1.4499658401183662,186378,0,1,P,0
0.008014981653201313,1.53051949790272,186418,0,1,,0
0.007076619272733642,1.6110731556870737,186458,0,1,,0
0.005328518824263797,1.6916268134714274,186498,0,1,,0
0.0027743987053529193,1.7721804712557812,186538,0,1,,0
-0.0005603504780332391,1.852734129040135,186578,0,1,,0
-0.004630695599709491,1.9332877868244887,186618,0,1,,0
-0.00937501008837716,2.0138414446088424,186658,0,1,,0
-0.014718960268750043,2.094395102393196,186698,0,1,,0
-0.02057999980605934,2.17494876017755,186738,0,1,,0
-0.026872209485087444,2.2555024179619036,186778,0,1,,0
-0.03351120128035248,2.3360560757462574,186818,0,1,,0
-0.040418803731302834,2.416609733530611,186858,0,1,,0
-0.04752726007400043,2.497163391314965,186898,0,1,,0
-0.0547827004961305,2.5777170490993186,186938,0,1,,0
-0.06214769347695441,2.6582707068836724,186978,0,1,,0
-0.06960273586164871,2.738824364668026,187018,0,1,,0
-0.07714660387906089,2.81937802245238,187058,0,1,,0
-0.0847955540766869,2.8999316802367336,187098,0,1,,0
-0.09258143021967101,2.9804853380210874,187138,0,1,,0
-0.1005487956820212,3.061038995805441,187178,0,1,,0
-0.10875126707222299,3.141592653589795,187218,0,1,,0
-0.11724727054320484,3.2221463113741486,187258,0,1,,0
-0.1260954748230383,3.3026999691585024,187298,0,1,,0
-0.13535017262606322,3.383253626942856,187338,0,1,,0
-0.14505688379992637,3.46380728472721,187378,0,1,,0
-0.15524843929784948,3.5443609425115636,187418,0,1,,0
-0.1659417757310212,3.6249146002959174,187458,0,1,,0
-0.17713562761948085,3.705468258080271,187498,0,1,,0
-0.18880925105359725,3.786021915864625,187538,0,1,,0
-0.20092225145056863,3.8665755736489786,187578,0,1,,0
-0.21341552302021813,3.9471292314333324,187618,0,1,,0
-0.22621324224182207,4.027682889217686,187658,0,1,,0
-0.23922579589873408,4.108236547002039,187698,0,1,,0
-0.25235346959979216,4.188790204786392,187738,0,1,,0
-0.26549067838896634,4.269343862570746,187778,0,1,,0
-0.27853048955338067,4.349897520355099,187818,0,1,,0
-0.29136917087924646,4.430451178139452,187858,0,1,,0
-0.30391049631831596,4.5110048359238055,187898,0,1,,0
-0.3160695553552912,4.591558493708159,187938,0,1,,0
-0.3277758414504447,4.672112151492512,187978,0,1,,0
-0.338975437066924,4.752665809276865,188018,0,1,,0
-0.3496321655307025,4.833219467061219,188058,0,1,,0
-0.3597276402658197,4.913773124845572,188098,0,1,,0
-0.36926020633031886,4.994326782629925,188138,0,1,,0
-0.3782428339609532,5.074880440414279,188178,0,1,,0
-0.38670008532108907,5.155434098198632,188218,0,1,,0
-0.39466433034295273,5.235987755982985,188258,0,1,,0
-0.4021714323696412,5.316541413767339,188298,0,1,,0
-0.40925615671487425,5.397095071551692,188338,0,1,,0
-0.41594757346242067,5.477648729336045,188378,0,1,,0
-0.42226472882485644,5.5582023871203985,188422,0,1,,0
-0.42821284703435875,5.638756044904752,188459,0,1,,0
-0.433780297767864,5.719309702689105,188498,0,1,,0
-0.43893652404775274,5.799863360473458,188538,0,1,,0
-0.4436310746575505,5.880417018257812,188578,0,1,,0
-0.44779382620446984,5.960970676042165,188618,0,1,,0
-0.45133641630104504,6.041524333826518,188658,0,1,,0
-0.4541548444138645,6.122077991610872,188698,0,1,,0
-0.45613313426199625,6.202631649395225,188738,0,1,,0
-0.45714789460464805,0.0,188778,0,1,Z,0
-0.457073566856245,0.042453954778240446,188818,0,1,,0
-0.45578811072056435,0.08490790955648089,188858,0,1,,0
-0.4531788548198512,0.12736186433472135,188898,0,1,,0
-0.4491482292560014,0.16981581911296179,188938,0,1,,0
-0.4436191015446887,0.21226977389120222,188978,0,1,,0
-0.4365394559895869,0.25472372866944265,189018,0,1,,0
-0.42788618814493007,0.2971776834476831,189058,0,1,,0
-0.41766782871477703,0.3396316382259235,189098,0,1,,0
-0.4059260626674651,0.38208559300416395,189138,0,1,,0
-0.3927359667046967,0.4245395477824044,189178,0,1,,0
-0.37820494846960906,0.4669935025606448,189218,0,1,,0
-0.36247043088452974,0.5094474573388853,189258,0,1,,0
-0.34569638175037254,0.5519014121171257,189298,0,1,,0
-0.32806883944658305,0.5943553668953662,189338,0,1,,0
-0.30979062787357226,0.6368093216736066,189378,0,1,,0
-0.29107548582403836,0.679263276451847,189418,0,1,,0
-0.27214185649872835,0.7217172312300875,189458,0,1,,0
-0.2532065912837604,0.7641711860083279,189498,0,1,,0
-0.234478818221603,0.8066251407865683,189538,0,1,,0
-0.21615421050222877,0.8490790955648088,189578,0,1,,0
-0.19840986500362648,0.8915330503430492,189618,0,1,,0
-0.1813999671218039,0.9339870051212896,189658,0,1,,0
-0.16525237790667716,0.9764409598995301,189698,0,1,,0
-0.15006623514635048,1.0188949146777706,189738,0,1,,0
-0.1359106138938334,1.0613488694560111,189778,0,1,,0
-0.12282424633880519,1.1038028242342517,189818,0,1,,0
-0.11081625805438314,1.1462567790124922,189858,0,1,,0
-0.09986783937760157,1.1887107337907328,189898,0,1,,0
-0.08993473852866846,1.2311646885689733,189938,0,1,,0
-0.08095043812708483,1.2736186433472139,189978,0,1,,0
-0.07282985965217836,1.3160725981254544,190018,0,1,,0
-0.06547343128933716,1.358526552903695,190058,0,1,,0
-0.05877135323221328,1.4009805076819355,190098,0,1,,0
-0.05260790021953874,1.443434462460176,190138,0,1,,0
-0.04686561290060251,1.4858884172384166,190178,0,1,,0
-0.04142924634199824,1.5283423720166571,190218,0,1,,0
-0.036189364267985955,1.5707963267948977,190258,0,1,,0
-0.03104549008270504,1.6132502815731382,190298,0,1,,0
-0.025908749017032762,1.6557042363513788,190338,0,1,,0
-0.02070395866608459,1.6981581911296193,190378,0,1,,0
-0.015371146717421392,1.7406121459078598,190418,0,1,,0
-0.009866494035271272,1.7830661006861004,190458,0,1,,0
-0.004162717945777709,1.825520055464341,190498,0,1,,0
0.0017510756878780405,1.8679740102425815,190538,0,1,,0
0.0078700322047052,1.910427965020822,190578,0,1,,0
0.014174632220506182,1.9528819197990626,190618,0,1,,0
0.020632166821460594,1.995335874577303,190658,0,1,,0
0.027198546785084474,2.0377898293555434,190698,0,1,,0
0.03382038619844813,2.080243784133784,190738,0,1,,0
0.040437299137154784,2.1226977389120245,190778,0,1,,0
0.04698434676757357,2.165151693690265,190818,0,1,,0
0.05339457103655461,2.2076056484685056,190858,0,1,,0
0.05960154987091333,2.250059603246746,190898,0,1,,0
0.06554190754853335,2.2925135580249867,190938,0,1,,0
0.07115771281827699,2.3349675128032272,190978,0,1,,0
0.07639869678033454,2.3774214675814678,191018,0,1,,0
0.08122422294860253,2.4198754223597083,191058,0,1,,0
0.08560494382277209,2.462329377137949,191098,0,1,,0
0.08952408222702725,2.5047833319161894,191138,0,1,,0
0.0929782820959665,2.54723728669443,191178,0,1,,0
0.09597798266135345,2.5896912414726705,191218,0,1,,0
0.09854728229898059,2.632145196250911,191258,0,1,,0
0.1007232736016281,2.6745991510291516,191298,0,1,,0
0.10255484927652361,2.717053105807392,191338,0,1,,0
0.1041009986946366,2.7595070605856327,191378,0,1,,0
0.10542863657115194,2.801961015363873,191418,0,1,,0
0.1066100273440009,2.8444149701421138,191458,0,1,,0
0.10771989018792802,2.8868689249203543,191498,0,1,,0
0.10883228900365066,2.929322879698595,191538,0,1,,0
0.11001742788281739,2.9717768344768354,191578,0,1,,0
0.11133848426230994,3.014230789255076,191618,0,1,,0
0.11284861819119928,3.0566847440333165,191658,0,1,,0
0.11458829602142473,3.099138698811557,191698,0,1,,0
